ukprn,year,measure,group,number,provider
10003270,2018/19,domicile,Non-European Union,6770,"Imperial College of Science, Technology and Medicine"
10003270,2018/19,domicile,Not known,0,"Imperial College of Science, Technology and Medicine"
10004023,2018/19,domicile,UK,100,London College of International Business Studies Ltd
10004023,2018/19,domicile,European Union,10,London College of International Business Studies Ltd
10004023,2018/19,domicile,Non-European Union,5,London College of International Business Studies Ltd
10004023,2018/19,domicile,Not known,0,London College of International Business Studies Ltd
10035638,2018/19,domicile,UK,675,Institute of Contemporary Music Performance
10035638,2018/19,domicile,European Union,235,Institute of Contemporary Music Performance
10035638,2018/19,domicile,Non-European Union,85,Institute of Contemporary Music Performance
10035638,2018/19,domicile,Not known,0,Institute of Contemporary Music Performance
10029682,2018/19,domicile,UK,65,The Islamic College
10029682,2018/19,domicile,European Union,0,The Islamic College
10029682,2018/19,domicile,Non-European Union,0,The Islamic College
10029682,2018/19,domicile,Not known,0,The Islamic College
10021682,2018/19,domicile,UK,1115,Kaplan Open Learning (Essex) Limited
10021682,2018/19,domicile,European Union,0,Kaplan Open Learning (Essex) Limited
10021682,2018/19,domicile,Non-European Union,0,Kaplan Open Learning (Essex) Limited
10021682,2018/19,domicile,Not known,0,Kaplan Open Learning (Essex) Limited
10007767,2018/19,domicile,UK,9950,Keele University
10007767,2018/19,domicile,European Union,240,Keele University
10007767,2018/19,domicile,Non-European Union,680,Keele University
10007767,2018/19,domicile,Not known,0,Keele University
10003566,2018/19,domicile,UK,495,Kensington College of Business
10003566,2018/19,domicile,European Union,0,Kensington College of Business
10003566,2018/19,domicile,Non-European Union,0,Kensington College of Business
10003566,2018/19,domicile,Not known,0,Kensington College of Business
10007150,2018/19,domicile,UK,15075,The University of Kent
10007150,2018/19,domicile,European Union,1495,The University of Kent
10007150,2018/19,domicile,Non-European Union,2695,The University of Kent
10007150,2018/19,domicile,Not known,0,The University of Kent
10003645,2018/19,domicile,UK,20510,King's College London
10003645,2018/19,domicile,European Union,4230,King's College London
10003645,2018/19,domicile,Non-European Union,8155,King's College London
10003645,2018/19,domicile,Not known,0,King's College London
10008325,2018/19,domicile,UK,170,KLC School of Design
10008325,2018/19,domicile,European Union,10,KLC School of Design
10008325,2018/19,domicile,Non-European Union,10,KLC School of Design
10008325,2018/19,domicile,Not known,0,KLC School of Design
10003678,2018/19,domicile,UK,13495,Kingston University
10003678,2018/19,domicile,European Union,780,Kingston University
10003678,2018/19,domicile,Non-European Union,2535,Kingston University
10003678,2018/19,domicile,Not known,0,Kingston University
10009285,2018/19,domicile,UK,5,Kogan Academy of Dramatic Arts
10009285,2018/19,domicile,European Union,0,Kogan Academy of Dramatic Arts
10009285,2018/19,domicile,Non-European Union,0,Kogan Academy of Dramatic Arts
10009285,2018/19,domicile,Not known,0,Kogan Academy of Dramatic Arts
10007141,2018/19,domicile,UK,20470,University of Lancashire
10007141,2018/19,domicile,European Union,565,University of Lancashire
10007141,2018/19,domicile,Non-European Union,2150,University of Lancashire
10007141,2018/19,domicile,Not known,0,University of Lancashire
10007768,2018/19,domicile,UK,9770,The University of Lancaster
10007768,2018/19,domicile,European Union,1390,The University of Lancaster
10007768,2018/19,domicile,Non-European Union,3305,The University of Lancaster
10007768,2018/19,domicile,Not known,0,The University of Lancaster
10066551,2018/19,domicile,UK,195,LCCM AU UK Limited
10066551,2018/19,domicile,European Union,40,LCCM AU UK Limited
10066551,2018/19,domicile,Non-European Union,20,LCCM AU UK Limited
10066551,2018/19,domicile,Not known,0,LCCM AU UK Limited
10003854,2018/19,domicile,UK,1680,Leeds Arts University
10003854,2018/19,domicile,European Union,45,Leeds Arts University
10003854,2018/19,domicile,Non-European Union,120,Leeds Arts University
10003854,2018/19,domicile,Not known,0,Leeds Arts University
10003861,2018/19,domicile,UK,21890,Leeds Beckett University
10003861,2018/19,domicile,European Union,410,Leeds Beckett University
10003861,2018/19,domicile,Non-European Union,975,Leeds Beckett University
10003861,2018/19,domicile,Not known,0,Leeds Beckett University
10034449,2018/19,domicile,UK,1090,Leeds Conservatoire
10034449,2018/19,domicile,European Union,35,Leeds Conservatoire
10034449,2018/19,domicile,Non-European Union,55,Leeds Conservatoire
10034449,2018/19,domicile,Not known,0,Leeds Conservatoire
10007795,2018/19,domicile,UK,27020,The University of Leeds
10007795,2018/19,domicile,European Union,1545,The University of Leeds
10007795,2018/19,domicile,Non-European Union,7690,The University of Leeds
10007795,2018/19,domicile,Not known,0,The University of Leeds
10003863,2018/19,domicile,UK,3365,Leeds Trinity University
10003863,2018/19,domicile,European Union,40,Leeds Trinity University
10003863,2018/19,domicile,Non-European Union,10,Leeds Trinity University
10003863,2018/19,domicile,Not known,0,Leeds Trinity University
10007796,2018/19,domicile,UK,12870,The University of Leicester
10007796,2018/19,domicile,European Union,640,The University of Leicester
10007796,2018/19,domicile,Non-European Union,3340,The University of Leicester
10007796,2018/19,domicile,Not known,0,The University of Leicester
10007151,2018/19,domicile,UK,14800,The University of Lincoln
10007151,2018/19,domicile,European Union,220,The University of Lincoln
10007151,2018/19,domicile,Non-European Union,855,The University of Lincoln
10007151,2018/19,domicile,Not known,0,The University of Lincoln
10007811,2018/19,domicile,UK,2240,Lincoln Bishop University
10007811,2018/19,domicile,European Union,10,Lincoln Bishop University
10007811,2018/19,domicile,Non-European Union,5,Lincoln Bishop University
10007811,2018/19,domicile,Not known,0,Lincoln Bishop University
10003956,2018/19,domicile,UK,4920,Liverpool Hope University
10003956,2018/19,domicile,European Union,110,Liverpool Hope University
10003956,2018/19,domicile,Non-European Union,70,Liverpool Hope University
10003956,2018/19,domicile,Not known,0,Liverpool Hope University
10003957,2018/19,domicile,UK,22255,Liverpool John Moores University
10003957,2018/19,domicile,European Union,455,Liverpool John Moores University
10003957,2018/19,domicile,Non-European Union,1320,Liverpool John Moores University
10003957,2018/19,domicile,Not known,0,Liverpool John Moores University
10003945,2018/19,domicile,UK,635,The Liverpool Institute for Performing Arts
10003945,2018/19,domicile,European Union,30,The Liverpool Institute for Performing Arts
10003945,2018/19,domicile,Non-European Union,155,The Liverpool Institute for Performing Arts
10003945,2018/19,domicile,Not known,0,The Liverpool Institute for Performing Arts
10006842,2018/19,domicile,UK,20980,The University of Liverpool
10006842,2018/19,domicile,European Union,1005,The University of Liverpool
10006842,2018/19,domicile,Non-European Union,7710,The University of Liverpool
10006842,2018/19,domicile,Not known,0,The University of Liverpool
10003958,2018/19,domicile,UK,245,Liverpool School of Tropical Medicine
10003958,2018/19,domicile,European Union,35,Liverpool School of Tropical Medicine
10003958,2018/19,domicile,Non-European Union,140,Liverpool School of Tropical Medicine
10003958,2018/19,domicile,Not known,0,Liverpool School of Tropical Medicine
10007820,2018/19,domicile,UK,1410,Grŵp Llandrillo Menai
10007820,2018/19,domicile,European Union,0,Grŵp Llandrillo Menai
10007820,2018/19,domicile,Non-European Union,0,Grŵp Llandrillo Menai
10007820,2018/19,domicile,Not known,0,Grŵp Llandrillo Menai
10007162,2018/19,domicile,UK,9400,"University of the Arts, London"
10007162,2018/19,domicile,European Union,2450,"University of the Arts, London"
10007162,2018/19,domicile,Non-European Union,7240,"University of the Arts, London"
10007162,2018/19,domicile,Not known,0,"University of the Arts, London"
10013109,2018/19,domicile,UK,185,London Bridge Business Academy
10013109,2018/19,domicile,European Union,0,London Bridge Business Academy
10013109,2018/19,domicile,Non-European Union,0,London Bridge Business Academy
10013109,2018/19,domicile,Not known,0,London Bridge Business Academy
10007769,2018/19,domicile,UK,500,London Business School
10007769,2018/19,domicile,European Union,325,London Business School
10007769,2018/19,domicile,Non-European Union,1255,London Business School
10007769,2018/19,domicile,Not known,0,London Business School
10030391,2018/19,domicile,UK,885,London Churchill College Ltd
10030391,2018/19,domicile,European Union,0,London Churchill College Ltd
10030391,2018/19,domicile,Non-European Union,0,London Churchill College Ltd
10030391,2018/19,domicile,Not known,0,London Churchill College Ltd
10007797,2018/19,domicile,UK,150,University of London (Institutes and activities)
10007797,2018/19,domicile,European Union,35,University of London (Institutes and activities)
10007797,2018/19,domicile,Non-European Union,60,University of London (Institutes and activities)
10007797,2018/19,domicile,Not known,0,University of London (Institutes and activities)
10039082,2018/19,domicile,UK,185,City and Guilds of London Art School
10039082,2018/19,domicile,European Union,35,City and Guilds of London Art School
10039082,2018/19,domicile,Non-European Union,15,City and Guilds of London Art School
10039082,2018/19,domicile,Not known,0,City and Guilds of London Art School
10023434,2018/19,domicile,UK,50,London School of Commerce & IT Limited
10023434,2018/19,domicile,European Union,0,London School of Commerce & IT Limited
10023434,2018/19,domicile,Non-European Union,0,London School of Commerce & IT Limited
10023434,2018/19,domicile,Not known,0,London School of Commerce & IT Limited
10015506,2018/19,domicile,UK,975,The London College
10015506,2018/19,domicile,European Union,10,The London College
10015506,2018/19,domicile,Non-European Union,0,The London College
10015506,2018/19,domicile,Not known,0,The London College
10004048,2018/19,domicile,UK,8135,London Metropolitan University
10004048,2018/19,domicile,European Union,590,London Metropolitan University
10004048,2018/19,domicile,Non-European Union,380,London Metropolitan University
10004048,2018/19,domicile,Not known,0,London Metropolitan University
10032594,2018/19,domicile,UK,120,London School of Academics Ltd
10032594,2018/19,domicile,European Union,0,London School of Academics Ltd
10032594,2018/19,domicile,Non-European Union,0,London School of Academics Ltd
10032594,2018/19,domicile,Not known,0,London School of Academics Ltd
10004078,2018/19,domicile,UK,15545,London South Bank University
10004078,2018/19,domicile,European Union,590,London South Bank University
10004078,2018/19,domicile,Non-European Union,985,London South Bank University
10004078,2018/19,domicile,Not known,0,London South Bank University
10004063,2018/19,domicile,UK,3855,London School of Economics and Political Science
10004063,2018/19,domicile,European Union,2180,London School of Economics and Political Science
10004063,2018/19,domicile,Non-European Union,5820,London School of Economics and Political Science
10004063,2018/19,domicile,Not known,0,London School of Economics and Political Science
10007771,2018/19,domicile,UK,565,London School of Hygiene and Tropical Medicine
10007771,2018/19,domicile,European Union,105,London School of Hygiene and Tropical Medicine
10007771,2018/19,domicile,Non-European Union,500,London School of Hygiene and Tropical Medicine
10007771,2018/19,domicile,Not known,0,London School of Hygiene and Tropical Medicine
10022285,2018/19,domicile,UK,375,London School of Management Education
10022285,2018/19,domicile,European Union,5,London School of Management Education
10022285,2018/19,domicile,Non-European Union,0,London School of Management Education
10022285,2018/19,domicile,Not known,0,London School of Management Education
10004075,2018/19,domicile,UK,285,London School of Theology
10004075,2018/19,domicile,European Union,10,London School of Theology
10004075,2018/19,domicile,Non-European Union,20,London School of Theology
10004075,2018/19,domicile,Not known,0,London School of Theology
10004079,2018/19,domicile,UK,270,London Studio Centre
10004079,2018/19,domicile,European Union,40,London Studio Centre
10004079,2018/19,domicile,Non-European Union,15,London Studio Centre
10004079,2018/19,domicile,Not known,0,London Studio Centre
10062810,2018/19,domicile,UK,60,The London School of Architecture
10062810,2018/19,domicile,European Union,10,The London School of Architecture
10062810,2018/19,domicile,Non-European Union,5,The London School of Architecture
10062810,2018/19,domicile,Not known,0,The London School of Architecture
10008289,2018/19,domicile,UK,220,The London Institute of Banking & Finance
10008289,2018/19,domicile,European Union,5,The London Institute of Banking & Finance
10008289,2018/19,domicile,Non-European Union,0,The London Institute of Banking & Finance
10008289,2018/19,domicile,Not known,0,The London Institute of Banking & Finance
10004035,2018/19,domicile,UK,10,The Film Education Training Trust Limited
10004035,2018/19,domicile,European Union,10,The Film Education Training Trust Limited
10004035,2018/19,domicile,Non-European Union,10,The Film Education Training Trust Limited
10004035,2018/19,domicile,Not known,0,The Film Education Training Trust Limited
10004113,2018/19,domicile,UK,13880,Loughborough University
10004113,2018/19,domicile,European Union,885,Loughborough University
10004113,2018/19,domicile,Non-European Union,3260,Loughborough University
10004113,2018/19,domicile,Not known,0,Loughborough University
10009612,2018/19,domicile,UK,105,Luther King House Educational Trust
10009612,2018/19,domicile,European Union,0,Luther King House Educational Trust
10009612,2018/19,domicile,Non-European Union,5,Luther King House Educational Trust
10009612,2018/19,domicile,Not known,0,Luther King House Educational Trust
10004180,2018/19,domicile,UK,30450,The Manchester Metropolitan University
10004180,2018/19,domicile,European Union,915,The Manchester Metropolitan University
10004180,2018/19,domicile,Non-European Union,1685,The Manchester Metropolitan University
10004180,2018/19,domicile,Not known,0,The Manchester Metropolitan University
10007798,2018/19,domicile,UK,25810,The University of Manchester
10007798,2018/19,domicile,European Union,2980,The University of Manchester
10007798,2018/19,domicile,Non-European Union,11460,The University of Manchester
10007798,2018/19,domicile,Not known,0,The University of Manchester
10009527,2018/19,domicile,UK,100,Istituto Marangoni Limited
10009527,2018/19,domicile,European Union,230,Istituto Marangoni Limited
10009527,2018/19,domicile,Non-European Union,495,Istituto Marangoni Limited
10009527,2018/19,domicile,Not known,0,Istituto Marangoni Limited
10023452,2018/19,domicile,UK,85,The Markfield Institute of Higher Education
10023452,2018/19,domicile,European Union,5,The Markfield Institute of Higher Education
10023452,2018/19,domicile,Non-European Union,0,The Markfield Institute of Higher Education
10023452,2018/19,domicile,Not known,0,The Markfield Institute of Higher Education
10023453,2018/19,domicile,UK,80,Matrix College of Counselling and Psychotherapy Ltd
10023453,2018/19,domicile,European Union,0,Matrix College of Counselling and Psychotherapy Ltd
10023453,2018/19,domicile,Non-European Union,0,Matrix College of Counselling and Psychotherapy Ltd
10023453,2018/19,domicile,Not known,0,Matrix College of Counselling and Psychotherapy Ltd
10020416,2018/19,domicile,UK,85,Missio Dei
10020416,2018/19,domicile,European Union,0,Missio Dei
10020416,2018/19,domicile,Non-European Union,0,Missio Dei
10020416,2018/19,domicile,Not known,0,Missio Dei
10030776,2018/19,domicile,UK,555,St Mellitus College
10030776,2018/19,domicile,European Union,0,St Mellitus College
10030776,2018/19,domicile,Non-European Union,0,St Mellitus College
10030776,2018/19,domicile,Not known,0,St Mellitus College
10004320,2018/19,domicile,UK,345,The Metanoia Institute
10004320,2018/19,domicile,European Union,5,The Metanoia Institute
10004320,2018/19,domicile,Non-European Union,0,The Metanoia Institute
10004320,2018/19,domicile,Not known,0,The Metanoia Institute
10004351,2018/19,domicile,UK,15050,Middlesex University
10004351,2018/19,domicile,European Union,1895,Middlesex University
10004351,2018/19,domicile,Non-European Union,2690,Middlesex University
10004351,2018/19,domicile,Not known,0,Middlesex University
10004365,2018/19,domicile,UK,95,Millennium Performing Arts Ltd
10004365,2018/19,domicile,European Union,5,Millennium Performing Arts Ltd
10004365,2018/19,domicile,Non-European Union,0,Millennium Performing Arts Ltd
10004365,2018/19,domicile,Not known,0,Millennium Performing Arts Ltd
10032277,2018/19,domicile,UK,140,The Minster Centre
10032277,2018/19,domicile,European Union,0,The Minster Centre
10032277,2018/19,domicile,Non-European Union,0,The Minster Centre
10032277,2018/19,domicile,Not known,0,The Minster Centre
10004450,2018/19,domicile,UK,340,Mountview Academy of Theatre Arts
10004450,2018/19,domicile,European Union,15,Mountview Academy of Theatre Arts
10004450,2018/19,domicile,Non-European Union,35,Mountview Academy of Theatre Arts
10004450,2018/19,domicile,Not known,0,Mountview Academy of Theatre Arts
10023777,2018/19,domicile,UK,1010,Mont Rose College of Management and Sciences Limited
10023777,2018/19,domicile,European Union,0,Mont Rose College of Management and Sciences Limited
10023777,2018/19,domicile,Non-European Union,0,Mont Rose College of Management and Sciences Limited
10023777,2018/19,domicile,Not known,0,Mont Rose College of Management and Sciences Limited
10023454,2018/19,domicile,UK,270,Moorlands College
10023454,2018/19,domicile,European Union,0,Moorlands College
10023454,2018/19,domicile,Non-European Union,0,Moorlands College
10023454,2018/19,domicile,Not known,0,Moorlands College
10000216,2018/19,domicile,UK,40,All Nations Christian College Limited
10000216,2018/19,domicile,European Union,10,All Nations Christian College Limited
10000216,2018/19,domicile,Non-European Union,10,All Nations Christian College Limited
10000216,2018/19,domicile,Not known,0,All Nations Christian College Limited
10004538,2018/19,domicile,UK,160,Nazarene Theological College
10004538,2018/19,domicile,European Union,0,Nazarene Theological College
10004538,2018/19,domicile,Non-European Union,5,Nazarene Theological College
10004538,2018/19,domicile,Not known,0,Nazarene Theological College
10030129,2018/19,domicile,UK,1025,Nelson College London Ltd
10030129,2018/19,domicile,European Union,0,Nelson College London Ltd
10030129,2018/19,domicile,Non-European Union,0,Nelson College London Ltd
10030129,2018/19,domicile,Not known,0,Nelson College London Ltd
10023456,2018/19,domicile,UK,55,Newbold College
10023456,2018/19,domicile,European Union,30,Newbold College
10023456,2018/19,domicile,Non-European Union,15,Newbold College
10023456,2018/19,domicile,Not known,0,Newbold College
10007799,2018/19,domicile,UK,20335,Newcastle University
10007799,2018/19,domicile,European Union,1425,Newcastle University
10007799,2018/19,domicile,Non-European Union,5455,Newcastle University
10007799,2018/19,domicile,Not known,0,Newcastle University
10045289,2018/19,domicile,UK,45,St Nicholas Montessori Training Limited
10045289,2018/19,domicile,European Union,0,St Nicholas Montessori Training Limited
10045289,2018/19,domicile,Non-European Union,0,St Nicholas Montessori Training Limited
10045289,2018/19,domicile,Not known,0,St Nicholas Montessori Training Limited
10048199,2018/19,domicile,UK,110,Northeastern University London
10048199,2018/19,domicile,European Union,60,Northeastern University London
10048199,2018/19,domicile,Non-European Union,25,Northeastern University London
10048199,2018/19,domicile,Not known,0,Northeastern University London
10008397,2018/19,domicile,UK,270,Norland College
10008397,2018/19,domicile,European Union,10,Norland College
10008397,2018/19,domicile,Non-European Union,5,Norland College
10008397,2018/19,domicile,Not known,0,Norland College
10007138,2018/19,domicile,UK,10330,The University of Northampton
10007138,2018/19,domicile,European Union,405,The University of Northampton
10007138,2018/19,domicile,Non-European Union,1350,The University of Northampton
10007138,2018/19,domicile,Not known,0,The University of Northampton
10009614,2018/19,domicile,UK,165,Grŵp NPTC Group
10009614,2018/19,domicile,European Union,0,Grŵp NPTC Group
10009614,2018/19,domicile,Non-European Union,0,Grŵp NPTC Group
10009614,2018/19,domicile,Not known,0,Grŵp NPTC Group
10004740,2018/19,domicile,UK,155,Northern College of Acupuncture
10004740,2018/19,domicile,European Union,0,Northern College of Acupuncture
10004740,2018/19,domicile,Non-European Union,0,Northern College of Acupuncture
10004740,2018/19,domicile,Not known,0,Northern College of Acupuncture
10001282,2018/19,domicile,UK,22350,University of Northumbria at Newcastle
10001282,2018/19,domicile,European Union,1000,University of Northumbria at Newcastle
10001282,2018/19,domicile,Non-European Union,3100,University of Northumbria at Newcastle
10001282,2018/19,domicile,Not known,0,University of Northumbria at Newcastle
10004775,2018/19,domicile,UK,2135,Norwich University of the Arts
10004775,2018/19,domicile,European Union,80,Norwich University of the Arts
10004775,2018/19,domicile,Non-European Union,90,Norwich University of the Arts
10004775,2018/19,domicile,Not known,0,Norwich University of the Arts
10007154,2018/19,domicile,UK,25370,University of Nottingham
10007154,2018/19,domicile,European Union,1545,University of Nottingham
10007154,2018/19,domicile,Non-European Union,6630,University of Nottingham
10007154,2018/19,domicile,Not known,0,University of Nottingham
10004797,2018/19,domicile,UK,28475,The Nottingham Trent University
10004797,2018/19,domicile,European Union,1010,The Nottingham Trent University
10004797,2018/19,domicile,Non-European Union,3770,The Nottingham Trent University
10004797,2018/19,domicile,Not known,0,The Nottingham Trent University
10010227,2018/19,domicile,UK,130,Oak Hill College
10010227,2018/19,domicile,European Union,0,Oak Hill College
10010227,2018/19,domicile,Non-European Union,0,Oak Hill College
10010227,2018/19,domicile,Not known,0,Oak Hill College
10007773,2018/19,domicile,UK,122040,The Open University
10007773,2018/19,domicile,European Union,215,The Open University
10007773,2018/19,domicile,Non-European Union,105,The Open University
10007773,2018/19,domicile,Not known,0,The Open University
10023445,2018/19,domicile,UK,45,ICOM
10023445,2018/19,domicile,European Union,0,ICOM
10023445,2018/19,domicile,Non-European Union,5,ICOM
10023445,2018/19,domicile,Not known,0,ICOM
10004930,2018/19,domicile,UK,13920,Oxford Brookes University
10004930,2018/19,domicile,European Union,900,Oxford Brookes University
10004930,2018/19,domicile,Non-European Union,1845,Oxford Brookes University
10004930,2018/19,domicile,Not known,0,Oxford Brookes University
10020439,2018/19,domicile,UK,60,Oxford Business College
10020439,2018/19,domicile,European Union,5,Oxford Business College
10020439,2018/19,domicile,Non-European Union,15,Oxford Business College
10020439,2018/19,domicile,Not known,0,Oxford Business College
10007774,2018/19,domicile,UK,16890,The University of Oxford
10007774,2018/19,domicile,European Union,2630,The University of Oxford
10007774,2018/19,domicile,Non-European Union,5870,The University of Oxford
10007774,2018/19,domicile,Not known,0,The University of Oxford
10006243,2018/19,domicile,UK,2850,St Patrick's International College
10006243,2018/19,domicile,European Union,0,St Patrick's International College
10006243,2018/19,domicile,Non-European Union,0,St Patrick's International College
10006243,2018/19,domicile,Not known,0,St Patrick's International College
10005127,2018/19,domicile,UK,1340,Arts University Plymouth
10005127,2018/19,domicile,European Union,30,Arts University Plymouth
10005127,2018/19,domicile,Non-European Union,15,Arts University Plymouth
10005127,2018/19,domicile,Not known,0,Arts University Plymouth
10007801,2018/19,domicile,UK,17795,University of Plymouth
10007801,2018/19,domicile,European Union,610,University of Plymouth
10007801,2018/19,domicile,Non-European Union,1240,University of Plymouth
10007801,2018/19,domicile,Not known,0,University of Plymouth
10019178,2018/19,domicile,UK,270,Point Blank Music School
10019178,2018/19,domicile,European Union,60,Point Blank Music School
10019178,2018/19,domicile,Non-European Union,85,Point Blank Music School
10019178,2018/19,domicile,Not known,0,Point Blank Music School
10007155,2018/19,domicile,UK,21040,The University of Portsmouth
10007155,2018/19,domicile,European Union,1120,The University of Portsmouth
10007155,2018/19,domicile,Non-European Union,3355,The University of Portsmouth
10007155,2018/19,domicile,Not known,0,The University of Portsmouth
10005337,2018/19,domicile,UK,4110,"Queen Margaret University, Edinburgh"
10005337,2018/19,domicile,European Union,815,"Queen Margaret University, Edinburgh"
10005337,2018/19,domicile,Non-European Union,300,"Queen Margaret University, Edinburgh"
10005337,2018/19,domicile,Not known,0,"Queen Margaret University, Edinburgh"
10007775,2018/19,domicile,UK,13625,Queen Mary University of London
10007775,2018/19,domicile,European Union,1880,Queen Mary University of London
10007775,2018/19,domicile,Non-European Union,5055,Queen Mary University of London
10007775,2018/19,domicile,Not known,0,Queen Mary University of London
10005544,2018/19,domicile,UK,110,Royal Academy of Dance
10005544,2018/19,domicile,European Union,20,Royal Academy of Dance
10005544,2018/19,domicile,Non-European Union,5,Royal Academy of Dance
10005544,2018/19,domicile,Not known,0,Royal Academy of Dance
10005389,2018/19,domicile,UK,2180,Ravensbourne University London
10005389,2018/19,domicile,European Union,145,Ravensbourne University London
10005389,2018/19,domicile,Non-European Union,200,Ravensbourne University London
10005389,2018/19,domicile,Not known,0,Ravensbourne University London
10005470,2018/19,domicile,UK,330,"Richmond, The American International University in London"
10005470,2018/19,domicile,European Union,210,"Richmond, The American International University in London"
10005470,2018/19,domicile,Non-European Union,370,"Richmond, The American International University in London"
10005470,2018/19,domicile,Not known,0,"Richmond, The American International University in London"
10007802,2018/19,domicile,UK,13520,The University of Reading
10007802,2018/19,domicile,European Union,1070,The University of Reading
10007802,2018/19,domicile,Non-European Union,3215,The University of Reading
10007802,2018/19,domicile,Not known,0,The University of Reading
10003331,2018/19,domicile,UK,430,Regent's University London
10003331,2018/19,domicile,European Union,575,Regent's University London
10003331,2018/19,domicile,Non-European Union,1265,Regent's University London
10003331,2018/19,domicile,Not known,0,Regent's University London
10021100,2018/19,domicile,UK,220,Regents Theological College
10021100,2018/19,domicile,European Union,5,Regents Theological College
10021100,2018/19,domicile,Non-European Union,0,Regents Theological College
10021100,2018/19,domicile,Not known,0,Regents Theological College
10008455,2018/19,domicile,UK,1025,Regent College London
10008455,2018/19,domicile,European Union,0,Regent College London
10008455,2018/19,domicile,Non-European Union,0,Regent College London
10008455,2018/19,domicile,Not known,0,Regent College London
10005500,2018/19,domicile,UK,10310,Robert Gordon University
10005500,2018/19,domicile,European Union,1035,Robert Gordon University
10005500,2018/19,domicile,Non-European Union,990,Robert Gordon University
10005500,2018/19,domicile,Not known,0,Robert Gordon University
10007776,2018/19,domicile,UK,11465,Roehampton University
10007776,2018/19,domicile,European Union,505,Roehampton University
10007776,2018/19,domicile,Non-European Union,695,Roehampton University
10007776,2018/19,domicile,Not known,0,Roehampton University
10005523,2018/19,domicile,UK,610,Rose Bruford College of Theatre and Performance
10005523,2018/19,domicile,European Union,55,Rose Bruford College of Theatre and Performance
10005523,2018/19,domicile,Non-European Union,70,Rose Bruford College of Theatre and Performance
10005523,2018/19,domicile,Not known,0,Rose Bruford College of Theatre and Performance
10007835,2018/19,domicile,UK,485,Royal Academy of Music
10007835,2018/19,domicile,European Union,175,Royal Academy of Music
10007835,2018/19,domicile,Non-European Union,220,Royal Academy of Music
10007835,2018/19,domicile,Not known,0,Royal Academy of Music
10005545,2018/19,domicile,UK,1010,Royal Agricultural University
10005545,2018/19,domicile,European Union,45,Royal Agricultural University
10005545,2018/19,domicile,Non-European Union,95,Royal Agricultural University
10005545,2018/19,domicile,Not known,0,Royal Agricultural University
10007777,2018/19,domicile,UK,700,Royal College of Art
10007777,2018/19,domicile,European Union,545,Royal College of Art
10007777,2018/19,domicile,Non-European Union,1155,Royal College of Art
10007777,2018/19,domicile,Not known,0,Royal College of Art
10007778,2018/19,domicile,UK,410,Royal College of Music
10007778,2018/19,domicile,European Union,170,Royal College of Music
10007778,2018/19,domicile,Non-European Union,245,Royal College of Music
10007778,2018/19,domicile,Not known,0,Royal College of Music
10005561,2018/19,domicile,UK,860,Royal Conservatoire of Scotland
10005561,2018/19,domicile,European Union,175,Royal Conservatoire of Scotland
10005561,2018/19,domicile,Non-European Union,245,Royal Conservatoire of Scotland
10005561,2018/19,domicile,Not known,0,Royal Conservatoire of Scotland
10007816,2018/19,domicile,UK,715,The Royal Central School of Speech and Drama
10007816,2018/19,domicile,European Union,125,The Royal Central School of Speech and Drama
10007816,2018/19,domicile,Non-European Union,215,The Royal Central School of Speech and Drama
10007816,2018/19,domicile,Not known,0,The Royal Central School of Speech and Drama
10005553,2018/19,domicile,UK,7970,Royal Holloway and Bedford New College
10005553,2018/19,domicile,European Union,845,Royal Holloway and Bedford New College
10005553,2018/19,domicile,Non-European Union,2225,Royal Holloway and Bedford New College
10005553,2018/19,domicile,Not known,0,Royal Holloway and Bedford New College
10007837,2018/19,domicile,UK,615,Royal Northern College of Music
10007837,2018/19,domicile,European Union,75,Royal Northern College of Music
10007837,2018/19,domicile,Non-European Union,190,Royal Northern College of Music
10007837,2018/19,domicile,Not known,0,Royal Northern College of Music
10007779,2018/19,domicile,UK,1990,The Royal Veterinary College
10007779,2018/19,domicile,European Union,90,The Royal Veterinary College
10007779,2018/19,domicile,Non-European Union,445,The Royal Veterinary College
10007779,2018/19,domicile,Not known,0,The Royal Veterinary College
10007803,2018/19,domicile,UK,5755,The University of St. Andrews
10007803,2018/19,domicile,European Union,1075,The University of St. Andrews
10007803,2018/19,domicile,Non-European Union,3745,The University of St. Andrews
10007803,2018/19,domicile,Not known,0,The University of St. Andrews
10007839,2018/19,domicile,UK,575,SAE Education Limited
10007839,2018/19,domicile,European Union,60,SAE Education Limited
10007839,2018/19,domicile,Non-European Union,35,SAE Education Limited
10007839,2018/19,domicile,Not known,0,SAE Education Limited
10007782,2018/19,domicile,UK,4305,"St George's, University of London"
10007782,2018/19,domicile,European Union,70,"St George's, University of London"
10007782,2018/19,domicile,Non-European Union,315,"St George's, University of London"
10007782,2018/19,domicile,Not known,0,"St George's, University of London"
10008026,2018/19,domicile,UK,1025,St Mary's University College
10008026,2018/19,domicile,European Union,20,St Mary's University College
10008026,2018/19,domicile,Non-European Union,0,St Mary's University College
10008026,2018/19,domicile,Not known,0,St Mary's University College
10007843,2018/19,domicile,UK,4680,"St Mary's University, Twickenham"
10007843,2018/19,domicile,European Union,230,"St Mary's University, Twickenham"
10007843,2018/19,domicile,Non-European Union,165,"St Mary's University, Twickenham"
10007843,2018/19,domicile,Not known,0,"St Mary's University, Twickenham"
